past_month,stock,txn_date,close,amt,sell_dates,sell_nav,sell_amt
2021-06,MARUTI.NS.csv,2021-07-01,7584.39990234375,200,2021-08-01,7199.39990234375,189.847581747871
2021-06,BAJFINANCE.NS.csv,2021-07-01,5967.14990234375,200,2021-11-01,7413.9501953125,248.49217186249945
2021-06,ULTRACEMCO.NS.csv,2021-07-01,6707.25,200,2021-09-01,7766.9501953125,231.59864908308174
2021-06,TCS.NS.csv,2021-07-01,3341.5,200,2021-08-01,3284.89990234375,196.61229402027533
2021-06,INFY.NS.csv,2021-07-01,1560.4000244140625,200,2022-02-01,1772.050048828125,227.12766227923356
2021-07,ULTRACEMCO.NS.csv,2021-08-01,7843.25,200,2021-09-01,7766.9501953125,198.05438294871385
2021-07,NESTLEIND.NS.csv,2021-08-01,18284.099609375,200,2021-10-01,19549.94921875,213.84645278049072
2021-07,BAJAJFINSV.NS.csv,2021-08-01,1429.5,200,2021-12-01,1738.2950439453125,243.2032240567069
2021-07,BAJFINANCE.NS.csv,2021-08-01,6331.89990234375,200,2021-11-01,7413.9501953125,234.17774474192902
2021-07,LT.NS.csv,2021-08-01,1634.3499755859375,200,2021-12-01,1786.0,218.55783971357712
2021-08,BAJAJFINSV.NS.csv,2021-09-01,1678.6300048828125,200,2021-12-01,1738.2950439453125,207.10877785920016
2021-08,TCS.NS.csv,2021-09-01,3714.949951171875,200,2021-11-01,3476.39990234375,187.15729407052308
2021-08,HINDUNILVR.NS.csv,2021-09-01,2732.89990234375,200,2021-10-01,2704.050048828125,197.88870031493775
2021-08,NESTLEIND.NS.csv,2021-09-01,19826.849609375,200,2021-10-01,19549.94921875,197.2068140316748
2021-08,BAJFINANCE.NS.csv,2021-09-01,7519.60009765625,200,2021-11-01,7413.9501953125,197.19001274079244
2021-09,MARUTI.NS.csv,2021-10-01,7162.2998046875,200,2021-12-01,7273.25,203.0981723283878
2021-09,KOTAKBANK.NS.csv,2021-10-01,1993.550048828125,200,2021-12-01,1953.3499755859373,195.96698630507734
2021-09,BAJFINANCE.NS.csv,2021-10-01,7522.75,200,2021-11-01,7413.9501953125,197.10744595560135
2021-09,RELIANCE.NS.csv,2021-10-01,2523.699951171875,200,2021-12-01,2467.0,195.506601238745
2021-09,INDUSINDBK.NS.csv,2021-10-01,1104.050048828125,200,2021-12-01,933.6500244140624,169.13182973997766
2021-10,TITAN.NS.csv,2021-11-01,2406.300048828125,200,2021-12-01,2360.199951171875,196.16838326719056
2021-10,HDFC.NS.csv,2021-11-01,2887.949951171875,200,2021-12-01,2703.64990234375,187.23661753533233
2021-10,KOTAKBANK.NS.csv,2021-11-01,2076.5,200,2021-12-01,1953.3499755859373,188.1386925678726
2021-10,TECHM.NS.csv,2021-11-01,1522.1500244140625,200,2022-02-01,1505.75,197.84515006392022
2021-10,TATAMOTORS.NS.csv,2021-11-01,485.7000122070313,200,2021-12-01,475.25,195.69692734428963
2021-11,POWERGRID.NS.csv,2021-12-01,207.1999969482422,200,2022-01-01,205.0,197.87645079088324
2021-11,BHARTIARTL.NS.csv,2021-12-01,722.25,200,2022-01-01,691.2999877929688,191.42955702124436
2021-11,TECHM.NS.csv,2021-12-01,1587.5999755859375,200,2022-02-01,1505.75,189.6888414153913
2021-11,NESTLEIND.NS.csv,2021-12-01,19397.80078125,200,2022-02-01,18671.69921875,192.51356820612517
2021-11,ASIANPAINT.NS.csv,2021-12-01,3138.14990234375,200,2022-02-01,3196.25,203.70282487862403
2021-12,ASIANPAINT.NS.csv,2022-01-01,3422.39990234375,200,2022-02-01,3196.25,186.7841334270214
2021-12,TECHM.NS.csv,2022-01-01,1784.800048828125,200,2022-02-01,1505.75,168.73038534357443
2021-12,INFY.NS.csv,2022-01-01,1898.449951171875,200,2022-02-01,1772.050048828125,186.68388363193606
2021-12,HCLTECH.NS.csv,2022-01-01,1326.1500244140625,200,2022-02-01,1132.800048828125,170.84040688814736
2021-12,TCS.NS.csv,2022-01-01,3817.75,200,2022-02-01,3800.64990234375,199.10417928590138
2022-01,MARUTI.NS.csv,2022-02-01,8559.400390625,200,2022-03-01,7595.5498046875,177.47854891814168
2022-01,M&M.NS.csv,2022-02-01,869.7000122070312,200,2022-03-01,762.0499877929688,175.2443318608494
2022-01,SBIN.NS.csv,2022-02-01,532.2999877929688,200,2022-03-01,467.3999938964844,175.61525628975727
2022-01,AXISBANK.NS.csv,2022-02-01,781.9000244140625,200,2022-03-01,737.6500244140625,188.6814174144169
2022-01,ICICIBANK.NS.csv,2022-02-01,810.2999877929688,200,2022-03-01,698.2999877929688,172.35591714494362
2022-02,NTPC.NS.csv,2022-03-01,132.10000610351562,200,2022-06-01,156.8000030517578,237.39590583953023
2022-02,POWERGRID.NS.csv,2022-03-01,217.8500061035156,200,2022-04-01,225.0500030517578,206.61004980171631
2022-02,RELIANCE.NS.csv,2022-03-01,2378.300048828125,200,2022-07-01,2408.699951171875,202.55643961818268
2022-02,TATASTEEL.NS.csv,2022-03-01,130.3300018310547,200,2022-05-01,126.13500213623048,193.56249576323626
2022-02,TITAN.NS.csv,2022-03-01,2574.25,200,2022-05-01,2289.949951171875,177.91200941414976
2022-03,BAJFINANCE.NS.csv,2022-04-01,7408.10009765625,200,2022-05-01,6339.75,171.1572445411678
2022-03,ULTRACEMCO.NS.csv,2022-04-01,6670.5498046875,200,2022-05-01,6521.9501953125,195.54460685472802
2022-03,MARUTI.NS.csv,2022-04-01,7700.0498046875,200,2022-09-01,9024.5,234.40108126329844
