past_month,stock,txn_date,close,amt,sell_dates,sell_nav
2021-06,MARUTI.NS.csv,2021-07-01,7584.39990234375,200,2021-08-01,7199.39990234375
2021-06,BAJFINANCE.NS.csv,2021-07-01,5967.14990234375,200,2021-11-01,7413.9501953125
2021-06,ULTRACEMCO.NS.csv,2021-07-01,6707.25,200,2021-09-01,7766.9501953125
2021-06,TCS.NS.csv,2021-07-01,3341.5,200,2021-08-01,3284.89990234375
2021-06,INFY.NS.csv,2021-07-01,1560.4000244140625,200,2022-02-01,1772.050048828125
2021-07,ULTRACEMCO.NS.csv,2021-08-01,7843.25,200,2021-09-01,7766.9501953125
2021-07,NESTLEIND.NS.csv,2021-08-01,18284.099609375,200,2021-10-01,19549.94921875
2021-07,BAJAJFINSV.NS.csv,2021-08-01,1429.5,200,2021-12-01,1738.2950439453125
2021-07,BAJFINANCE.NS.csv,2021-08-01,6331.89990234375,200,2021-11-01,7413.9501953125
2021-07,LT.NS.csv,2021-08-01,1634.3499755859375,200,2021-12-01,1786.0
2021-08,BAJAJFINSV.NS.csv,2021-09-01,1678.6300048828125,200,2021-12-01,1738.2950439453125
2021-08,TCS.NS.csv,2021-09-01,3714.949951171875,200,2021-11-01,3476.39990234375
2021-08,HINDUNILVR.NS.csv,2021-09-01,2732.89990234375,200,2021-10-01,2704.050048828125
2021-08,NESTLEIND.NS.csv,2021-09-01,19826.849609375,200,2021-10-01,19549.94921875
2021-08,BAJFINANCE.NS.csv,2021-09-01,7519.60009765625,200,2021-11-01,7413.9501953125
2021-09,MARUTI.NS.csv,2021-10-01,7162.2998046875,200,2021-12-01,7273.25
2021-09,KOTAKBANK.NS.csv,2021-10-01,1993.550048828125,200,2021-12-01,1953.3499755859373
2021-09,BAJFINANCE.NS.csv,2021-10-01,7522.75,200,2021-11-01,7413.9501953125
2021-09,RELIANCE.NS.csv,2021-10-01,2523.699951171875,200,2021-12-01,2467.0
2021-09,INDUSINDBK.NS.csv,2021-10-01,1104.050048828125,200,2021-12-01,933.6500244140624
2021-10,TITAN.NS.csv,2021-11-01,2406.300048828125,200,2021-12-01,2360.199951171875
2021-10,HDFC.NS.csv,2021-11-01,2887.949951171875,200,2021-12-01,2703.64990234375
2021-10,KOTAKBANK.NS.csv,2021-11-01,2076.5,200,2021-12-01,1953.3499755859373
2021-10,TECHM.NS.csv,2021-11-01,1522.1500244140625,200,2022-02-01,1505.75
2021-10,TATAMOTORS.NS.csv,2021-11-01,485.7000122070313,200,2021-12-01,475.25
2021-11,POWERGRID.NS.csv,2021-12-01,207.1999969482422,200,2022-01-01,205.0
2021-11,BHARTIARTL.NS.csv,2021-12-01,722.25,200,2022-01-01,691.2999877929688
2021-11,TECHM.NS.csv,2021-12-01,1587.5999755859375,200,2022-02-01,1505.75
2021-11,NESTLEIND.NS.csv,2021-12-01,19397.80078125,200,2022-02-01,18671.69921875
2021-11,ASIANPAINT.NS.csv,2021-12-01,3138.14990234375,200,2022-02-01,3196.25
2021-12,ASIANPAINT.NS.csv,2022-01-01,3422.39990234375,200,2022-02-01,3196.25
2021-12,TECHM.NS.csv,2022-01-01,1784.800048828125,200,2022-02-01,1505.75
2021-12,INFY.NS.csv,2022-01-01,1898.449951171875,200,2022-02-01,1772.050048828125
2021-12,HCLTECH.NS.csv,2022-01-01,1326.1500244140625,200,2022-02-01,1132.800048828125
2021-12,TCS.NS.csv,2022-01-01,3817.75,200,2022-02-01,3800.64990234375
2022-01,MARUTI.NS.csv,2022-02-01,8559.400390625,200,2022-03-01,7595.5498046875
2022-01,M&M.NS.csv,2022-02-01,869.7000122070312,200,2022-03-01,762.0499877929688
2022-01,SBIN.NS.csv,2022-02-01,532.2999877929688,200,2022-03-01,467.3999938964844
2022-01,AXISBANK.NS.csv,2022-02-01,781.9000244140625,200,2022-03-01,737.6500244140625
