month,NTPC.NS.csv,POWERGRID.NS.csv,WIPRO.NS.csv,LT.NS.csv,NESTLEIND.NS.csv,ITC.NS.csv,RELIANCE.NS.csv,MARUTI.NS.csv,M&M.NS.csv,ULTRACEMCO.NS.csv,TATASTEEL.NS.csv,BHARTIARTL.NS.csv,INDUSINDBK.NS.csv,SUNPHARMA.NS.csv,AXISBANK.NS.csv,TATAMOTORS.NS.csv,BAJAJFINSV.NS.csv,TITAN.NS.csv,INFY.NS.csv,BAJFINANCE.NS.csv,SBIN.NS.csv,ASIANPAINT.NS.csv,HCLTECH.NS.csv,TCS.NS.csv,HDFC.NS.csv,KOTAKBANK.NS.csv,ICICIBANK.NS.csv,HINDUNILVR.NS.csv,HDFCBANK.NS.csv,TECHM.NS.csv
2021-06,0.2231508337933081,0.0807383713380286,0.09980302635119635,-0.6223046654432524,-2.8814008681535856,-0.4826368162821814,-3.987124097879023,15.939525636557736,-1.37156934862013,11.451105980466544,0.1805958675166965,-0.32586104717717745,-0.497853292576142,-0.22272745193834698,0.2912475310228155,0.3440141295525127,2.7361333363477556,5.416968821133011,10.435065555410961,12.748192449534162,-0.783991981131555,5.333425787867024,2.1622248282882186,11.094582228657892,-5.36250912597932,-4.597007230201863,-0.5605307804669855,8.115920064141022,-0.11589435424460051,3.3579037460077275
2021-07,0.027467524540888837,-0.01310167188768263,3.8522747089336447,7.3261030717329545,24.6330078125,0.3775324437525367,-3.3529873934659116,-26.332734501826298,-2.4648704627891638,53.20909851866883,1.2489350455147878,1.9244162819602273,-2.830845107041395,2.1449995561079547,-1.6270122577617694,-2.433506556919643,11.508804440188717,-1.7167528028612014,2.4825975294237015,9.578253728693182,0.1916879232827739,0.816813679484578,1.4071416681463098,-6.617919604809253,-3.1916843166599027,-3.4583123541497565,2.303961974304992,-8.378313971185065,-5.004739181716721,4.986882197392451
2021-08,-0.2052597739479756,0.05123403970297274,2.4604550051998784,0.8358453924005682,118.44621043019481,-0.22883124413428338,8.972205699573864,-23.498046240868508,1.1015590915432225,-5.868694196428572,-0.04722739876090706,1.9940904493455762,-1.477662163276177,-0.6879224901075487,1.0411040070769075,-0.9539614987063717,14.537052937297078,4.414414918577509,4.492596831879059,56.36053102171266,-1.5951296719637773,6.63720798244724,7.920260501217532,28.075133167613636,9.162922648640421,-1.3318828632305195,0.2835705249340503,20.824541522930193,6.164155717329545,13.114156509993911
2021-09,1.1237012194348621,0.6081816437956579,-0.6111690372615666,3.2801948051948053,-33.718607954545455,1.9701297512302154,9.503310483461851,26.043897118506493,2.403635317319399,-27.296694272524352,-1.0256557712307226,2.6434297635957793,9.48220833121956,0.07714154132000811,-0.551558695211039,1.980324683251319,7.541670048701296,8.034352012733363,0.7577912565949675,13.815126572646104,1.2278572776100851,1.0638906503652596,7.927336457487825,0.6311685141030844,-0.15558701552353896,17.022400536475242,-0.458962259664164,-3.216165597098214,1.2977913200081168,0.21980471920657468
2021-10,-0.19052647181919644,-0.05364678174929394,1.7703016238105027,6.063196351474389,-20.38074336231203,-0.13601518215093364,1.9152663152020677,6.588505565671992,2.593270713404605,-5.728646689967105,0.07903034525706369,0.3919533636336936,1.5683077934093046,-0.8968044194960056,0.9924055285919878,9.610112607568729,4.130437452273263,12.134323418409304,2.2533074629934204,-8.184961671757518,3.3320303092325534,-14.191091804217574,-8.662330753641918,-23.583119052514096,11.09357304393797,11.006653841635345,7.741278718647204,-19.225374471334586,2.4079329182330826,9.747969686178337
2021-11,-0.4587591988699777,1.1821430062889149,-1.3623684302308505,-4.380337501468515,19.21199776785714,-0.026654419863133157,-7.2936875881109025,-15.800261395676692,-0.10206753149964559,-30.03372261219455,-1.426481238343662,2.2679326795993893,-15.945638693902726,-2.5644362829681624,-5.892704922095278,-1.2184584309283955,-4.391794947574012,-6.7949246284656954,0.08545123795817669,-34.67050230556861,-3.2992871965680783,2.4572188527960526,-3.9643216929041354,-1.1068032630404134,-8.856614925986841,-5.874473445576839,-3.9824442698543234,-4.745864294525376,-6.006126369390272,1.7021434812617482
2021-12,-0.1921935703443446,-0.07712434308802253,4.188882820219861,4.2977263559936985,3.1499525228507905,-0.5126973178546899,-3.759043576689106,3.0749487594182314,-0.7277172827437932,2.9452994727334487,-0.10262842894542733,-2.3056820353029273,-4.455582991890281,4.029595235590878,-0.6432802102311327,-0.6015812266956683,-8.275429586176816,1.3106701515408843,8.987054395110237,-17.94822433531991,-1.449406529603739,12.33408859313241,7.361512316074296,5.658006992264698,-14.413239369750494,-10.030186950924836,0.06383354579035944,-1.8004963388556077,-4.0780634823523965,10.24940653563488
2022-01,0.44266925324174694,0.5356015083485081,-10.010676746798637,-0.7200370616482565,-85.4888671875,-0.2567291603948843,-3.829060811207707,46.19657432154605,2.3370309471187736,-30.387625558035715,-0.30802638118428405,0.6152248296522557,-2.6265047690025844,-1.2665799936853854,1.9471051897321427,0.47800694515830694,-12.608308858082706,-13.775936729029604,-9.0739492774906,-36.35022578418703,2.1725567581062015,-24.285525214403197,-14.637708345570958,-7.417629523026315,-8.803264141799811,-1.0449606070841135,0.6245873013833412,-7.59729022262688,-4.079551295230263,-17.52424922168703
2022-02,-0.5053378972792087,-0.9713158284811144,-1.1402259310385339,-8.874172491776315,-34.04592927631579,-1.1899998370866138,-0.7392128392269737,-10.5126094043703,-2.1123696233993186,-56.8604862987547,-0.20584960593316728,-1.7979316424606437,-1.6101493663357622,-3.6412406290384163,-2.480224563483905,-2.5791351777270313,-2.0177607715578008,1.7797774465460525,-2.661205228647791,-10.21756527549342,-3.1381189331972488,-1.7107917498825187,-1.578796937411889,-16.23127973742951,-8.26225567581062,-2.937632533482144,-4.854060076950188,-5.104096422697369,-2.485074472068844,-4.726954868861607
2022-03,0.21987021309988838,-0.007207796171113821,1.9032469117796267,3.0740269252232144,-14.797131189123377,1.953441550514914,18.896944120332794,19.573708274147727,3.102337725750812,29.791560343952924,0.2695324389965502,4.0095452643060066,3.0314291421469113,4.996881182782065,2.276298780565138,1.0566235034496771,9.556098284040178,6.0387644581980515,9.360259296367692,38.89324903612013,2.2910388104327315,14.087732092126624,1.218895216112013,11.141106622869318,9.04506455458604,-0.9593516956676145,2.3259743430397726,-3.3851955661526,6.637986537388393,5.234806050882711
