"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","1,322.55","1,329.50","1,318.10","1,318.30","1,320.55","1,319.50","1,322.90","1,672.60","1,185.30","4,277,841","5,659,176,889.55","189,819"
"31-May-2023","EQ","1,319.85","1,331.10","1,314.15","1,323.85","1,317.80","1,318.30","1,320.55","1,672.60","1,185.30","17,800,782","23,506,891,088.20","180,184"
"30-May-2023","EQ","1,315.00","1,326.40","1,309.15","1,314.40","1,322.40","1,323.85","1,318.50","1,672.60","1,185.30","6,274,719","8,273,197,083.60","167,284"
"29-May-2023","EQ","1,332.70","1,332.70","1,309.85","1,317.45","1,315.00","1,314.40","1,316.49","1,672.60","1,185.30","4,419,365","5,818,035,563.65","160,816"
"26-May-2023","EQ","1,306.00","1,323.45","1,306.00","1,304.35","1,316.00","1,317.45","1,317.45","1,672.60","1,185.30","5,521,606","7,274,438,393.35","167,863"
"25-May-2023","EQ","1,294.50","1,307.00","1,289.25","1,298.65","1,306.00","1,304.35","1,298.27","1,672.60","1,185.30","4,334,121","5,626,853,058.25","108,453"
"24-May-2023","EQ","1,296.30","1,305.00","1,291.30","1,300.05","1,299.90","1,298.65","1,299.49","1,672.60","1,185.30","4,824,077","6,268,859,654.15","125,041"
"23-May-2023","EQ","1,299.20","1,314.15","1,297.05","1,292.80","1,300.80","1,300.05","1,306.71","1,672.60","1,185.30","7,436,031","9,716,702,068.30","222,142"
"22-May-2023","EQ","1,272.95","1,295.60","1,270.25","1,268.90","1,291.80","1,292.80","1,286.85","1,672.60","1,185.30","7,625,947","9,813,424,557.30","185,776"
"19-May-2023","EQ","1,256.05","1,273.30","1,252.80","1,246.00","1,269.00","1,268.90","1,267.85","1,672.60","1,185.30","11,094,136","14,065,670,107.50","226,582"
"18-May-2023","EQ","1,258.60","1,259.65","1,242.45","1,246.90","1,249.95","1,246.00","1,251.78","1,672.60","1,185.30","6,948,732","8,698,306,736.25","196,055"
