day_cnt,Close Price
2,317.3
3,319.2
4,309.8
5,309.1
6,309.1
9,305.15
10,309.05
11,308.5
12,310.45
13,310.5
16,313.15
17,311.15
18,309.4
19,315.7
20,314.15
23,310.45
24,310
26,308.3
27,305.05
30,304.35
31,308.3
32,312.5
33,317.35
34,308.15
37,304.65
38,301.4
39,298.7
40,297.65
41,304.6
44,302.8
45,302.45
46,301.1
47,305.05
48,302.35
51,301.85
52,301.35
53,300.65
54,299.3
55,292.65
58,327.7
59,338.6
61,329.05
62,324.25
65,341
66,337.25
67,339.55
68,334.3
69,329.95
72,333.8
73,338.45
74,343.9
75,342.95
76,344.4
79,347.15
80,360
81,353.9
82,358.3
83,358.1
86,350.95
87,346.25
88,341.4
89,346.5
90,346.9
93,355.95
94,358.75
95,366.45
96,359.65
97,355.25
100,357.6
102,353.9
104,357.45
107,352.7
108,349.6
109,366.55
110,362.3
114,364.15
115,364.45
116,370.85
117,376.7
118,380.55
121,379.7
122,371.5
123,371.7
124,368.3
125,369.75
125,369.75
128,392.3
129,386.15
130,384.15
131,381.85
132,386.85
135,388.9
136,397.6
137,373.7
138,376.1
139,364.95
142,365.4
143,370.7
144,377.35
145,388.95
146,387.9
149,394.95
150,408.45
151,414.45
152,402.75
153,391.65
156,393.9
157,403.15
158,407.65
159,407.35
160,405.35
163,396.3
164,394.7
165,390.15
166,394.25
167,395.6
170,395.6
171,389.75
172,378.65
173,376.1
174,390
177,397.8
178,392.4
179,388.55
180,392.85
181,384.25
184,395.1
185,395.35
186,392.15
187,394.25
188,362.65
191,356.75
192,365.3
193,368.15
194,371.45
195,365.85
198,368.9
199,369.85
200,367.1
201,367.9
202,368.95
205,369.1
206,373.95
207,398.95
208,393.7
209,388.25
212,391.75
213,397.3
214,392
215,394.15
216,392.9
219,392.25
220,379
220,379
221,381.3
222,386.25
223,385.25
227,387.05
228,397.9
229,390.2
230,393.45
233,394.4
234,392.4
235,373.9
236,374.75
237,359.4
240,369.35
241,375.6
244,388.15
247,381.05
248,378.75
249,391.25
250,386.2
251,381.05
254,377.5
255,376
256,377.8
257,378.5
258,379.15
261,377.5
261,376.5
262,378.4
263,384.45
264,375.35
265,365.6
268,346.5
269,358.15
270,355.65
271,350.65
272,333.2
275,336.8
276,319.9
277,324.7
279,337.55
282,343.65
283,345.75
284,337.95
285,332.05
286,322.55
289,321.15
290,330.05
291,334.85
292,329.7
293,328.55
296,324.55
296,324.55
297,323.9
298,328.9
300,338.2
303,332
304,329.5
305,325.9
306,325.65
307,326.3
311,327.3
312,326.1
314,326.1
317,323.1
318,317.15
319,311.65
320,304.95
321,297.65
324,297.55
325,302.55
326,300.6
327,304.15
328,308.55
331,322.5
332,321.05
333,327.15
334,330.5
335,334.65
338,332.9
340,323.65
341,313.5
342,316.05
345,304
346,308
347,300.25
348,311.65
349,300.75
352,307.15
353,302
354,302.75
355,299.95
356,299.95
359,306.05
360,298.25
361,299.55
362,298.75
363,300.65
731,359.95
732,358.7
733,360.45
734,363.8
737,360.2
738,360.25
739,363.7
740,365.65
741,360.65
744,359.15
745,355.05
746,352.6
747,352.55
748,354.8
751,351.6
752,350.45
753,350.5
754,343.65
755,341.05
758,342.25
759,347.65
760,350.25
761,353.35
762,356.7
765,350.55
766,349.4
767,342.35
768,343.8
769,338.75
772,338.45
773,345.1
774,347.65
775,350.9
776,349.85
779,343.1
780,338.8
781,342.6
782,340.3
783,331.7
786,325.8
787,314.6
788,311.5
789,309.8
790,314
793,316.1
794,318.15
795,317
796,313
797,321.35
800,320.4
801,319.15
802,319.05
803,319.2
804,320
807,302.3
808,297.85
809,297.9
810,298.15
811,296.7
814,297.4
815,301.35
817,309.1
821,305.1
822,308.9
823,301.7
824,310.75
825,309.25
828,308.9
829,306.5
830,308.65
831,305.65
832,299.9
835,293.95
836,294.8
837,296.85
838,299.6
842,312.5
843,311.8
845,317.1
846,319
849,313.45
850,319.2
852,317.3
853,318.75
856,316.45
857,309.95
858,312.25
859,308.85
860,299.7
861,303.65
863,296.8
864,294.8
865,300.15
866,298.6
867,297.5
870,301.3
871,307.5
872,309.95
873,308.1
874,310.15
877,313.8
878,323.4
879,327.4
880,327.7
881,324.7
884,326.15
885,325
886,323.55
887,323.3
888,319.7
891,319.95
892,311.9
893,303.05
894,298.9
895,300.95
898,301.9
899,303.05
900,299.55
901,295.9
902,298.6
905,297
906,294.2
907,288.45
908,287.3
909,302.55
912,305
913,299.45
914,297.4
915,299.5
916,296.85
919,290
920,291.4
921,289.9
922,298.45
923,299.95
926,292.3
927,294.45
928,291.2
929,291.1
930,297
933,300.2
934,298.55
935,298.35
936,294.35
937,282.25
940,273.35
941,274.8
942,281.55
943,270.1
944,254.6
947,263.1
948,256.8
949,262.5
950,269.15
954,274.35
955,268.7
956,270.75
958,258.3
961,257.05
962,262.65
963,260.45
964,267.85
965,269.75
968,271.25
969,260.3
970,253.9
971,250.3
972,251.4
975,258.05
976,261.1
977,264.95
978,283.4
979,277.35
983,288.2
984,293.05
985,284.95
986,293
989,289.55
990,293.7
991,297.4
992,297.45
993,301.7
996,304.75
997,297
998,295.05
999,303.85
1000,306.9
1003,294.45
1004,297.5
1006,302.35
1007,310.05
1010,299.75
1011,296.35
1012,296.25
1013,293.95
1014,282.55
1017,285.25
1018,283.45
1020,283.95
1021,286.1
1024,287.9
1025,292.95
1026,289.85
1027,279.3
1028,278.95
1031,276.55
1032,281.15
1033,282.25
