"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","105.90","106.70","105.80","105.80","106.00","105.95","106.15","1,092.80","95.00","21,211,538","2,251,551,758.05","94,464"
"31-May-2023","EQ","106.40","106.95","105.60","107.05","105.85","105.80","106.14","1,092.80","95.00","41,249,944","4,378,251,037.75","131,061"
"30-May-2023","EQ","108.95","108.95","106.90","108.45","106.95","107.05","107.57","1,092.80","95.00","33,475,211","3,600,917,274.85","134,867"
"29-May-2023","EQ","107.00","108.85","106.30","106.40","108.35","108.45","107.92","1,092.80","95.00","41,062,311","4,431,534,295.90","149,388"
"26-May-2023","EQ","105.00","106.75","104.95","104.85","106.45","106.40","105.85","1,097.00","95.00","28,362,042","3,002,217,896.90","106,252"
"25-May-2023","EQ","105.00","105.20","104.30","105.20","105.00","104.85","104.66","1,097.00","95.00","25,885,062","2,709,050,705.20","120,182"
"24-May-2023","EQ","105.10","105.80","104.90","105.60","105.00","105.20","105.30","1,097.00","95.00","28,454,367","2,996,344,304.75","113,015"
"23-May-2023","EQ","105.10","106.05","105.00","105.00","105.60","105.60","105.58","1,097.00","95.00","21,304,034","2,249,349,513.10","120,258"
"22-May-2023","EQ","105.00","105.25","104.30","104.65","105.10","105.00","104.88","1,097.00","95.00","21,588,716","2,264,331,112.70","146,640"
"19-May-2023","EQ","105.60","105.70","104.05","105.20","104.70","104.65","104.56","1,209.00","95.00","29,848,841","3,120,908,345.85","164,196"
"18-May-2023","EQ","106.50","107.15","105.10","106.00","105.35","105.20","105.92","1,209.00","95.00","24,208,481","2,564,275,088.30","153,094"
"17-May-2023","EQ","107.40","107.50","105.55","107.40","106.05","106.00","106.26","1,209.00","95.00","28,895,465","3,070,486,552.55","158,469"
"16-May-2023","EQ","108.20","108.65","107.20","107.70","107.55","107.40","107.62","1,209.00","95.00","18,587,658","2,000,332,266.55","95,237"
"15-May-2023","EQ","107.05","108.20","105.65","106.75","107.65","107.70","107.17","1,209.00","95.00","22,148,028","2,373,507,495.90","124,207"
